,Time,L1DCDC,L2DCDC,L1Sync,L2Sync
0,18.544148445129395,32.2,30.0,32.7,31.5
1,120.99476623535156,32.7,30.3,34.3,32.7
2,237.50702595710754,32.8,30.3,34.4,32.7
3,241.52443313598633,32.9,30.3,34.6,32.6
4,263.62177181243896,32.9,30.4,34.5,32.8
5,306.811776638031,32.9,30.3,34.6,32.7
6,329.91314458847046,32.9,30.4,34.6,32.8
7,438.390029668808,33.0,30.4,34.6,32.8
8,440.3991994857788,33.1,30.4,34.7,32.7
9,464.5072684288025,33.0,30.5,34.8,32.8
10,481.5800120830536,33.0,30.5,34.8,32.8
11,514.7256784439087,33.1,30.4,34.9,32.8
12,519.7480204105377,33.0,30.4,34.6,32.8
13,555.9077067375183,33.0,30.5,34.7,32.9
14,575.9970588684082,33.1,30.5,34.7,32.8
15,588.0498793125153,33.1,30.5,34.7,32.9
16,597.0920271873474,33.0,30.5,34.7,32.8
17,673.4253692626953,33.2,30.5,34.6,33.0
18,689.4966592788696,33.1,30.6,34.8,32.9
19,937.5748991966248,33.3,30.7,34.9,33.0
20,955.6535902023315,33.3,30.7,34.9,32.9
21,1010.8940575122833,33.2,30.6,34.9,33.0
22,1022.9457848072052,33.2,30.7,34.9,33.0
23,1046.0460922718048,33.2,30.6,34.9,32.9
24,1084.2122333049774,33.3,30.7,34.8,33.0
25,1100.282263994217,33.2,30.7,34.8,32.9
26,1134.431585073471,33.2,30.7,34.8,33.0
27,1149.4980144500732,33.2,30.7,34.8,32.8
28,1168.5794541835785,33.2,30.7,34.8,33.0
29,1239.8904435634613,33.3,30.6,34.9,32.9
30,1351.3766605854034,33.2,30.7,34.9,33.0
31,1375.4819343090057,33.2,30.7,34.9,33.0
32,1392.5560495853424,33.2,30.7,34.9,33.0
33,1395.569133758545,33.2,30.6,34.8,32.9
34,1453.823451757431,33.2,30.6,34.9,32.9
35,1495.0021576881409,33.2,30.7,34.9,32.8
36,1501.0283598899841,33.2,30.7,34.9,33.1
37,1506.0505316257477,33.2,30.7,34.8,33.1
38,1614.524685382843,33.2,30.7,34.9,33.1
39,1640.638652086258,33.2,30.7,34.9,32.9
40,1710.9455618858337,33.2,30.7,34.8,33.0
41,1715.967176914215,33.3,30.7,34.9,33.0
42,1724.00262093544,33.2,30.7,34.9,32.9
43,1737.0598094463348,33.2,30.7,34.9,33.0
44,1744.0903737545013,33.2,30.7,34.9,32.9
45,1761.1647753715515,33.2,30.7,34.9,32.9
46,1773.2176077365875,33.2,30.7,35.1,32.9
47,1779.2438325881958,33.2,30.7,34.9,33.0
48,1810.381094455719,33.3,30.7,34.9,33.1
49,1817.4117531776428,33.2,30.7,34.9,32.8
50,1825.4466440677643,33.2,30.7,34.9,33.0
51,1826.4510130882263,33.2,30.8,35.0,33.1
52,1844.5298421382904,33.2,30.7,34.8,33.1
53,1889.7273318767548,33.3,30.8,34.9,33.1
54,1909.815339565277,33.2,30.7,34.8,33.0
55,1923.8770043849945,33.3,30.7,34.9,33.1
56,1925.885584115982,33.2,30.7,34.9,33.0
57,1943.9645295143127,33.3,30.7,34.9,32.9
58,1956.0173106193542,33.3,30.8,34.9,33.1
59,1983.1360495090485,33.2,30.7,34.9,33.1
60,2026.325855731964,33.3,30.8,34.9,33.0
61,2080.5635442733765,33.3,30.7,35.0,33.0
62,2124.7574968338013,33.3,30.9,34.9,33.2
63,2143.8412268161774,33.3,30.8,35.0,33.0
64,2189.039206266403,33.2,30.7,34.9,32.9
65,2244.281673669815,33.2,30.7,34.9,33.0
66,2318.6071841716766,33.3,30.7,34.9,33.0
67,2362.8012914657593,33.2,30.8,34.9,33.0
68,2383.8939430713654,33.3,30.7,35.0,33.0
69,2436.122406244278,33.2,30.8,35.2,33.0
70,2441.144590139389,33.3,30.8,34.9,33.1
71,2458.2191598415375,33.3,30.7,34.8,33.0
72,2484.333493709564,33.2,30.7,34.8,33.0
73,2499.399741411209,33.2,30.7,34.7,33.0
74,2630.9761202335358,33.3,30.7,34.9,33.0
75,2668.1390557289124,33.3,30.9,35.1,33.2
76,2737.4432911872864,33.3,30.8,34.9,33.1
77,2764.5624401569366,33.3,30.8,34.9,33.0
78,2839.891522169113,33.3,30.8,34.9,33.0
79,2923.253185272217,33.4,30.8,34.9,33.0
80,2960.4144773483276,33.5,30.9,35.1,33.2
81,2992.5551838874817,33.4,30.9,35.1,33.0
82,3033.7342581748962,33.4,30.9,35.1,33.2
83,3093.9961035251617,33.4,30.8,35.1,33.0
84,3172.337788581848,33.5,30.9,35.0,33.0
85,3222.5561389923096,33.5,30.8,35.1,33.2
86,3296.8811304569244,33.5,30.8,35.1,33.2
87,3396.314641714096,33.5,30.9,35.2,33.1
88,3413.3892710208893,33.5,31.0,35.2,33.2
89,3543.959235191345,33.5,31.0,35.2,33.2
90,3558.020830154419,33.5,31.0,35.3,33.1
91,3570.073337316513,33.6,31.0,35.1,33.2
